name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Boston Dental,"36 Chauncy St, Boston, MA 02111, United States",bostondental.com,+1 617-338-5000,295,4.6,42.3538708,-71.0957582
Boston Dental,"35 Court St, Boston, MA 02108, United States",bostondental.com,+1 617-402-5000,132,4.9,42.3538708,-71.0957582
Boston Smiles,"151 Merrimac St Suite 100, Boston, MA 02114, United States",bostonsmilesdental.com,+1 617-982-2233,242,4.8,42.3538708,-71.0957582
Beacon Dental Health,"62 On The Park, 198 Tremont St Suite 436, Boston, MA 02116, United States",beacondentalhealth.com,+1 617-418-6940,,,42.3538708,-71.0957582
Dental Arts of Boston,"26 Marlborough St, Boston, MA 02116, United States",bostoncosmeticdentistma.com,+1 617-266-0441,189,4.9,42.3538708,-71.0957582
Dental Partners of Boston - Fort Point,"46 Farnsworth St, Boston, MA 02210, United States",dentalpartnersofboston.com,+1 617-752-7752,57,4.8,42.3538708,-71.0957582
New England Dental Group,"811 Boylston St 3rd floor, Boston, MA 02116, United States",newenglanddentalgroup.com,+1 617-267-3993,345,4.9,42.3489764,-71.1182991
CITIDental,"63 Court St, Boston, MA 02108, United States",citidentalboston.com,+1 617-723-6300,313,4.5,42.3593545,-71.0948959
Faneuil Hall Dental Associates,"1 McKinley Square Lobby B, Boston, MA 02109, United States",fhdental.com,+1 617-523-4444,152,5.0,42.3593545,-71.0948959
"Boston Premier Dentistry, PC","10 Tremont St UNIT 402, Boston, MA 02108, United States",,+1 617-523-2459,46,5.0,42.3593545,-71.0948959
